<09:53:35> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<16:21:29> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<16:21:31> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<16:21:31> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<16:21:33> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<16:21:33> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<16:21:35> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<16:21:35> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<16:21:37> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<16:21:37> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<16:21:39> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<16:21:39> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<16:30:02> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<16:30:02> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<16:30:03> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<16:30:03> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<16:30:05> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<16:30:05> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<16:30:07> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<16:30:07> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build /home/pi/git_repos/BPMDetector/BPMDetector/build<16:36:55> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build .<16:36:56> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build .<16:36:56> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build .<16:36:56> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build .<16:36:58> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build .<16:36:58> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build .<16:37:00> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build .<16:37:00> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build .<16:37:02> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build .<16:37:03> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build .<16:37:05> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build .<16:37:05> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build .<16:37:07> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build .<16:37:07> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build .<16:37:09> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build .<16:37:09> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build .<16:37:11> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build .<16:37:11> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build .<16:37:13> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector/build .<16:37:13> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector/build .<16:38:13> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector .<16:38:13> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector .<16:38:14> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector .<16:38:14> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector .<16:38:16> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector .<16:38:16> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector .<16:38:18> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector .<16:38:18> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector .<16:38:20> Starting production...
/home/pi/git_repos/BPMDetector/BPMDetector .<16:38:20> Starting consumption...
/home/pi/git_repos/BPMDetector/BPMDetector .<17:00:57> Starting production...
/home/pi/git_repos/BPMDetector/build/BPMDetector/main.cpp --- /home/pi/git_repos/BPMDetector/build/BPMDetector<17:00:57> Starting consumption...
/home/pi/git_repos/BPMDetector/build/BPMDetector/main.cpp --- /home/pi/git_repos/BPMDetector/build/BPMDetector<17:00:58> Starting production...
/home/pi/git_repos/BPMDetector/build/BPMDetector/main.cpp --- /home/pi/git_repos/BPMDetector/build/BPMDetector<17:00:58> Starting consumption...
/home/pi/git_repos/BPMDetector/build/BPMDetector/main.cpp --- /home/pi/git_repos/BPMDetector/build/BPMDetector<17:01:00> Starting production...
/home/pi/git_repos/BPMDetector/build/BPMDetector/main.cpp --- /home/pi/git_repos/BPMDetector/build/BPMDetector<17:01:00> Starting consumption...
/home/pi/git_repos/BPMDetector/build/BPMDetector/main.cpp --- /home/pi/git_repos/BPMDetector/build/BPMDetector<17:01:02> Starting production...
/home/pi/git_repos/BPMDetector/build/BPMDetector/main.cpp --- /home/pi/git_repos/BPMDetector/build/BPMDetector<17:01:02> Starting consumption...
/home/pi/git_repos/BPMDetector/build/BPMDetector/main.cpp --- /home/pi/git_repos/BPMDetector/build/BPMDetector<17:01:04> Starting production...
/home/pi/git_repos/BPMDetector/build/BPMDetector/main.cpp --- /home/pi/git_repos/BPMDetector/build/BPMDetector<17:01:04> Starting consumption...
/home/pi/git_repos/BPMDetector/build/BPMDetector/main.cpp --- /home/pi/git_repos/BPMDetector/build/BPMDetector<17:01:06> Starting production...
/home/pi/git_repos/BPMDetector/build/BPMDetector/main.cpp --- /home/pi/git_repos/BPMDetector/build/BPMDetector<17:01:06> Starting consumption...
/home/pi/git_repos/BPMDetector/build/BPMDetector/main.cpp --- /home/pi/git_repos/BPMDetector/build/BPMDetector<17:01:08> Starting production...
/home/pi/git_repos/BPMDetector/build/BPMDetector/main.cpp --- /home/pi/git_repos/BPMDetector/build/BPMDetector<17:01:09> Starting consumption...
/home/pi/git_repos/BPMDetector/build/BPMDetector/main.cpp --- /home/pi/git_repos/BPMDetector/build/BPMDetector<17:01:11> Starting production...
/home/pi/git_repos/BPMDetector/build/BPMDetector/main.cpp --- /home/pi/git_repos/BPMDetector/build/BPMDetector<17:01:11> Starting consumption...
/home/pi/git_repos/BPMDetector/build/BPMDetector/main.cpp --- /home/pi/git_repos/BPMDetector/build/BPMDetector<17:01:13> Starting production...
/home/pi/git_repos/BPMDetector/build/BPMDetector/main.cpp --- /home/pi/git_repos/BPMDetector/build/BPMDetector<17:01:13> Starting consumption...
/home/pi/git_repos/BPMDetector/build/BPMDetector/main.cpp --- /home/pi/git_repos/BPMDetector/build/BPMDetector<17:01:15> Starting production...
/home/pi/git_repos/BPMDetector/build/BPMDetector/main.cpp --- /home/pi/git_repos/BPMDetector/build/BPMDetector<17:01:15> Starting consumption...
/home/pi/git_repos/BPMDetector/build/BPMDetector/main.cpp --- /home/pi/git_repos/BPMDetector/build/BPMDetector<17:01:56> Starting production...
/BPMDetector/main.cpp --- /BPMDetector<17:01:56> Starting consumption...
/BPMDetector/main.cpp --- /BPMDetector<17:01:57> Starting production...
/BPMDetector/main.cpp --- /BPMDetector<17:01:57> Starting consumption...
/BPMDetector/main.cpp --- /BPMDetector<17:01:59> Starting production...
/BPMDetector/main.cpp --- /BPMDetector<17:01:59> Starting consumption...
/BPMDetector/main.cpp --- /BPMDetector<17:02:01> Starting production...
/BPMDetector/main.cpp --- /BPMDetector<17:02:01> Starting consumption...
/BPMDetector/main.cpp --- /BPMDetector<17:02:03> Starting production...
/BPMDetector/main.cpp --- /BPMDetector<17:02:03> Starting consumption...
/BPMDetector/main.cpp --- /BPMDetector<17:05:09> Starting production...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:05:09> Starting consumption...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:05:10> Starting production...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:05:10> Starting consumption...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:05:12> Starting production...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:05:12> Starting consumption...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:05:14> Starting production...
/home/pi/git_repos/BPMDetector/build/main.cpp --- /home/pi/git_repos/BPMDetector/build<17:05:14> Starting consumption...
